age,workclass,education,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,Decision
middle-aged,Other-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,low,none,fulltime,United-States,0
senior,Self-emp,Bachelors,Married,White-collar,Husband,White,Male,none,none,parttime,United-States,0
middle-aged,Private,HS-grad,Not-married,Blue-collar,Not-in-family,White,Male,none,none,fulltime,United-States,0
senior,Private,Dropout,Married,Blue-collar,Husband,Black,Male,none,none,fulltime,United-States,0
middle-aged,Private,Bachelors,Married,Prof-specialty,Wife,Black,Female,none,none,fulltime,Other,0
middle-aged,Private,Masters,Married,White-collar,Wife,White,Female,none,none,fulltime,United-States,0
senior,Private,Dropout,Not-married,Service,Not-in-family,Black,Female,none,none,parttime,Latin-America,0
senior,Self-emp,HS-grad,Married,White-collar,Husband,White,Male,none,none,overtime,United-States,1
middle-aged,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,high,none,overtime,United-States,1
middle-aged,Private,Bachelors,Married,White-collar,Husband,White,Male,low,none,fulltime,United-States,1
middle-aged,Private,Some-college,Married,White-collar,Husband,Black,Male,none,none,unhealthy,United-States,1
middle-aged,Other-gov,Bachelors,Married,Prof-specialty,Husband,Asian-Pac-Islander,Male,none,none,fulltime,British-Commonwealth,1
young,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,none,none,fulltime,United-States,0
middle-aged,Private,Associates,Never-married,Sales,Not-in-family,Black,Male,none,none,overtime,United-States,0
middle-aged,Private,Associates,Married,Blue-collar,Husband,Asian-Pac-Islander,Male,none,none,fulltime,?,1
middle-aged,Private,Dropout,Married,Blue-collar,Husband,Amer-Indian-Eskimo,Male,none,none,overtime,Latin-America,0
young,Self-emp,HS-grad,Never-married,Blue-collar,Own-child,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,HS-grad,Never-married,Blue-collar,Unmarried,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,Dropout,Married,Sales,Husband,White,Male,none,none,overtime,United-States,0
middle-aged,Self-emp,Masters,Not-married,White-collar,Unmarried,White,Female,none,none,overtime,United-States,1
middle-aged,Private,Doctorate,Married,Prof-specialty,Husband,White,Male,none,none,overtime,United-States,1
senior,Private,HS-grad,Separated,Service,Unmarried,Black,Female,none,none,parttime,United-States,0
middle-aged,Federal-gov,Dropout,Married,Blue-collar,Husband,Black,Male,none,none,fulltime,United-States,0
middle-aged,Private,Dropout,Married,Blue-collar,Husband,White,Male,none,high,fulltime,United-States,0
senior,Private,HS-grad,Not-married,Other-occupations,Unmarried,White,Female,none,none,fulltime,United-States,0
senior,Other-gov,Bachelors,Married,Other-occupations,Husband,White,Male,none,none,fulltime,United-States,1
young,Private,HS-grad,Never-married,Blue-collar,Own-child,White,Male,none,none,fulltime,United-States,0
senior,?,Some-college,Married,?,Husband,Asian-Pac-Islander,Male,none,none,overtime,Euro-2,1
middle-aged,Private,HS-grad,Not-married,White-collar,Not-in-family,White,Male,none,none,unhealthy,United-States,0
senior,Private,HS-grad,Married,Blue-collar,Husband,White,Male,none,none,fulltime,United-States,0
young,Other-gov,Associates,Never-married,Other-occupations,Not-in-family,White,Male,none,none,overtime,United-States,0
young,Private,Some-college,Never-married,Sales,Own-child,Black,Male,none,none,overtime,United-States,0
middle-aged,Private,Bachelors,Not-married,White-collar,Own-child,White,Male,none,low,fulltime,United-States,0
middle-aged,Federal-gov,Some-college,Married,Adm-clerical,Own-child,White,Male,none,none,fulltime,United-States,0
young,Other-gov,Some-college,Married,Service,Husband,Black,Male,none,none,parttime,United-States,0
senior,Private,Dropout,Never-married,Blue-collar,Unmarried,White,Male,none,none,fulltime,Latin-America,0
young,Private,Some-college,Never-married,Blue-collar,Own-child,White,Male,none,none,fulltime,United-States,0
young,Private,HS-grad,Married,Adm-clerical,Wife,White,Female,none,none,parttime,United-States,0
middle-aged,Private,Some-college,Married,Sales,Husband,White,Male,none,none,fulltime,?,1
senior,Self-emp,Associates,Married,Prof-specialty,Husband,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,Dropout,Married,Blue-collar,Husband,White,Male,none,none,overtime,United-States,0
senior,Self-emp,Bachelors,Married,Prof-specialty,Husband,White,Male,none,none,fulltime,United-States,0
young,Private,Bachelors,Married,Other-occupations,Husband,White,Male,none,none,overtime,United-States,0
senior,Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,none,none,fulltime,United-States,0
young,Private,HS-grad,Never-married,Blue-collar,Not-in-family,White,Male,none,none,fulltime,United-States,0
senior,Federal-gov,Bachelors,Married,Prof-specialty,Husband,Black,Male,none,none,fulltime,United-States,1
senior,Private,HS-grad,Married,Blue-collar,Husband,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,Masters,Not-married,White-collar,Unmarried,White,Female,none,none,fulltime,United-States,0
middle-aged,Other-gov,Associates,Married,Blue-collar,Husband,White,Male,none,none,fulltime,United-States,0
middle-aged,Private,Associates,Never-married,Prof-specialty,Not-in-family,White,Male,none,none,overtime,United-States,0
young,Private,Some-college,Married,White-collar,Wife,Other,Female,none,none,fulltime,United-States,0
young,Private,HS-grad,Never-married,Service,Own-child,White,Female,none,none,fulltime,?,0
senior,Private,Prof-school,Married,Prof-specialty,Wife,White,Female,none,high,overtime,Latin-Aamerica,1
senior,Federal-gov,Bachelors,Not-married,White-collar,Not-in-family,White,Male,none,none,overtime,United-States,1
senior,Self-emp,HS-grad,Not-married,White-collar,Not-in-family,White,Male,none,none,overtime,United-States,0
